VariableName,Electricity:Facility,Gas:Facility
KeyValue,,
306,3777670912.2970185,2335944987.5362854
307,3644960910.2219734,1925856193.8921475
308,3468879586.135715,1839759768.3326664
309,3472196452.2461987,1629770479.5137143
310,3292386472.4475207,1703556513.7956252
311,3468349290.263835,1555221682.2613974
312,3468144329.172402,1418763092.0569155
313,3468315634.5002127,1538132780.9969459
314,3736781939.8559165,1680614151.955211
315,3423239012.9861994,1989665720.0713193
316,2706096591.758154,2347540986.882492
317,2618265031.1805716,2431338842.226339
318,2080434043.0400548,2703791323.234335
319,1992564587.422014,2756859115.0714855
320,1257685032.3874621,7886812.3857606435
321,1079971903.8971715,15700717.451669447
322,856545373.4341061,7886981.280364491
323,863602159.1864748,42394168.38946484
324,862202652.4353747,44598401.74448712
325,863642623.9185383,81206442.5364941
326,906233771.306741,68822262.82358119
327,995694820.5608267,116867644.74684855
328,1546034052.2479362,3447515370.7142663
329,1510395433.2726822,4205236365.49414
330,2344408047.5113635,3478843371.459682
331,2211816461.881223,3227966820.7273407
332,2035410140.6768143,3032413448.375936
333,2035127170.555984,2904235880.1537757
334,2034825001.8696847,2723212573.5065403
335,2034394676.2489784,2394856258.651544
336,1137750480.6507986,2761605411.0222807
337,1138031238.939594,2938912435.044868
338,1407156976.2237527,3478157157.847314
339,1363512200.0554452,4072030902.959707
340,1252548221.5255837,15714748.124426676
341,1165958173.9506295,13116791.424996305
342,1171606702.082404,48423768.527971074
343,1082223341.4984217,58978835.36106666
344,995648038.9621317,72873286.99420841
345,906269352.6621816,97293107.28949627
346,863690171.1885666,104356982.67036727
347,932670904.7393484,412752840.5867186
348,920088979.4142292,454065489.7502908
349,932874831.8126965,621267494.850954
350,964228050.5131421,577594532.3956186
351,1079814138.0023985,744748939.6338593
352,1228350615.1503108,655370862.7786831
353,1206068861.987102,763472927.482673
354,1131606232.6473129,492655679.0768339
355,1026877710.5800316,409733826.71010894
356,823424586.4699656,342846287.66637534
357,816375555.7123675,308674819.7918667
358,809333943.0936143,285841751.24039567
359,819118755.7772157,278956086.9334212
360,817682540.071811,258825828.74356905
361,835958320.5877975,330721082.1658161
362,1091714980.1227987,401460447.6448982
363,1328831937.0628676,607213766.9562329
364,1316186755.7926588,549689737.9716475
365,1240961169.036248,680346466.8371781
366,1228238660.7266014,571453921.8064795
367,1153031063.2346342,726183066.0561008
368,1052316316.2750206,630056403.9317521
369,977094150.3478882,774459006.0222818
370,920357410.3753841,666591578.3068123
371,933148726.6953272,820576264.5028123
372,920389375.1913108,692784570.6441543
373,933173813.8594065,841946302.7294191
374,964417476.838108,715377434.8469176
375,1065232202.6055462,887850290.1458433
376,1228467480.4366908,748885915.2056623
377,1206226371.7150066,892124786.3635294
378,1131765008.040605,625205657.2492151
379,1012314524.6798204,593379961.1603831
380,823645039.2954552,542841317.315937
381,836228749.8155978,547843152.2578968
382,823485082.1354034,424087034.0620302
383,836112814.9690773,463066189.75288963
384,823419564.2550838,388258178.493741
385,836160423.9864601,510907854.2669664
386,1061101824.2701648,521075546.60564893
387,1328987998.1887193,722418769.1669545
388,1316302885.0505693,639395949.0044873
389,1241144339.5560377,828669076.5669092
390,1228408624.487162,711319565.5837955
391,1153261102.2771163,907744369.3370191
392,1052481979.7225393,757461177.6447253
393,977354478.6595538,959594333.0044553
394,1099907305.9841938,746965940.5061703
395,1112729653.0206606,930942821.0201323
396,1099937892.50769,773556471.864558
397,1112833399.3631544,990467277.4653233
398,1144011260.2684288,813497124.8633361
399,1334576915.698773,1003684779.5645286
400,1561146241.0896387,6583368943.814877
